Artist;Listeners;Daily Trend;Peak;PkListeners
MAGIC!;10;42;303;25
Natalia Lafourcade;10;31;467;23
Gera MX;10;31;334;12
Riton;10;25;454;4
TWICE;10;23;650;19
Sidhu Moose Wala;10;22;146;20
The Fray;10;4;725;1
Kelsea Ballerini;10;1;707;104
KayBlack;9;993;884;16
L7NNON;9;985;168;9
Grupo Menos Ã Mais;9;982;472;57
Trueno;9;974;71;7
INXS;9;960;38;1
Sleepy Hallow;9;942;289;75
Kany GarcÃ­a;9;940;323;12
Birdy;9;918;832;7
Mae Stephens;9;915;545;75
Alfredo Olivas;9;905;823;6
Bacilos;9;898;399;82
MC Cabelinho;9;894;565;1
Sum 41;9;888;73;15
Colbie Caillat;9;887;684;15
Los Tigres Del Norte;9;881;792;1
Juan Gabriel;9;873;768;36
Zac Efron;9;872;942;74
The Mamas & The Papas;9;870;923;8
sped up + slowed;9;853;625;21
Otis Redding;9;852;94;17
BÃRNS;9;846;185;7
Mc Pedrinho;9;822;284;21
Stormzy;9;813;546;19
Karthik;9;812;589;4
Dhvani Bhanushali;9;808;363;5
Jimmy Eat World;9;804;332;11
Tim McGraw;9;799;293;20
Rage Against The Machine;9;799;94;18
Jason Aldean;9;784;148;30
Icona Pop;9;756;151;37
Phoebe Bridgers;9;745;428;10
Tego CalderÃ³n;9;741;345;1
MK;9;741;98;76
Lunay;9;722;175;1
The Black Keys;9;720;99;40
C. Tangana;9;717;884;25
Ryan Gosling;9;714;871;284
Migrantes;9;711;549;81
Harris Jayaraj;9;711;316;359
BIA;9;706;788;96
Nadin Amizah;9;703;327;16
Fireboy DML;9;700;123;12
Isabel LaRosa;9;700;84;11
YOASOBI;9;695;52;28
Pedro CapÃ³;9;673;452;2
AgroPlay;9;670;733;10
Rascal Flatts;9;664;65;20
James Carter;9;656;139;7
Kailash Kher;9;653;755;48
JuliÃ³n Ãlvarez y su NorteÃ±o Banda;9;650;635;12
Mustard;9;644;589;5
Yuridia;9;643;462;23
Ofenbach;9;635;613;42
Cher;9;635;302;18
